FlujoRx,FlujoCh,Concent,Tempera,Volumen
80.16,104.75,1,273.15,0.1
83.468,106.81,0.99994,281.12,0.10498
83.129,104.11,0.99987,287.85,0.10998
82.207,103.81,0.99989,293.53,0.11505
84.865,104.66,0.99993,298.55,0.12019
80.703,106.06,0.99989,304.24,0.12674
81.827,106.51,0.99993,308.96,0.13308
80.74,106.56,1.0001,312.91,0.13918
83.209,105.53,1.0001,316.32,0.14539
80.743,102.52,1,319.48,0.15219
80.343,107.21,1,322.3,0.15913
80.212,102.2,0.99997,324.87,0.16626
83.993,102.72,0.99994,327.05,0.17326
83.516,106.36,0.99989,329.02,0.18083
81.641,104.2,0.99993,330.8,0.18861
80.224,106.99,1.0001,332.46,0.19645
82.347,107.53,1.0001,333.97,0.20409
83.532,106.85,1.0001,335.71,0.21396
82.7,106.07,0.99998,337.18,0.22372
84.921,102.09,0.99989,338.34,0.23306
80.384,103.99,0.99989,339.28,0.24239
80.484,104.8,1,340.68,0.25648
80.029,107.68,1.0001,341.94,0.27068
81.174,102.51,1.0001,342.89,0.28531
84.805,103.55,0.99993,343.67,0.29985
79.294,102.58,0.99982,344.35,0.31342
81.649,105.68,0.99977,344.9,0.32677
79.938,104.73,0.99984,345.4,0.34038
82.318,107.14,0.99993,345.8,0.35414
80.432,104.17,0.99991,346.11,0.36929
81.704,107.34,0.9999,346.34,0.38438
80.686,103.92,0.99998,346.44,0.39908
83.304,105.43,1,346.6,0.41375
83.833,105.41,1,346.89,0.42923
84.15,104.82,1.0001,347.2,0.4445
83.692,107.97,1.0002,347.53,0.45971
82.288,104.73,1.0002,347.73,0.47488
84.167,106.42,1.0003,347.73,0.49295
81.191,107.63,1.0003,347.84,0.5107
83.078,102.37,1.0001,348.18,0.52744
84.515,103.11,1.0001,348.45,0.54435
81.813,104.18,1,348.53,0.56466
81.883,102.14,0.99996,348.54,0.58367
80.008,106.67,0.99998,348.48,0.60142
82.128,106.21,1.0001,348.55,0.61981
83.148,106.72,1.0001,348.68,0.63882
81.121,103.26,1,348.73,0.65755
83.004,105.92,0.99987,348.78,0.67651
84.659,105.64,0.99977,348.82,0.6957
82.26,105.6,0.99974,348.93,0.71932
80.746,104.84,0.9998,349.11,0.74221
82.661,106.56,0.99988,349.23,0.76514
81.103,107.63,0.99988,349.31,0.78814
79.855,104.11,0.99988,349.4,0.81494
82.32,107.7,0.99985,349.55,0.84097
83.075,103.32,0.99972,349.77,0.86619
82.931,106.08,0.99962,349.86,0.89175
79.415,102.65,0.99962,349.86,0.92248
82.024,105.62,0.99961,350.02,0.95344
79.435,105.73,0.9996,350.24,0.98431
80.732,102.23,0.99957,350.35,1.0147
81.609,102.99,0.99953,350.44,1.0591
80.268,106.05,0.99949,350.53,1.1028
82.952,105.24,0.99941,350.44,1.1442
81.947,102.12,0.99937,350.33,1.1855
84.291,103.93,0.99946,350.32,1.243
82.893,106.86,0.99951,350.25,1.2977
84.529,106.81,0.99951,350.17,1.351
81.269,106.85,0.99948,350.06,1.4062
79.235,103.23,0.99946,350.11,1.4608
83.089,105.72,0.99946,350.25,1.5121
84.175,104.74,0.99947,350.25,1.5601
84.413,102.8,0.99951,350.16,1.6091
80.226,107.32,0.99955,350.07,1.6698
80.964,103.19,0.99958,350,1.729
80.616,105.25,0.9996,350,1.787
79.442,106.18,0.99957,349.95,1.8469
82.834,106,0.99957,349.95,1.9104
82.62,104.22,0.99958,350.01,1.9711
82.198,103.87,0.9995,349.96,2.0279
80.13,107.16,0.99938,349.89,2.0826
81.712,105.36,0.9993,350.02,2.1637
83.133,106.72,0.99935,350.18,2.2475
83.797,107.6,0.99948,350.26,2.3312
83.205,106.35,0.99953,350.18,2.4127
80.167,107.32,0.99944,350.24,2.5271
81.816,107.44,0.99933,350.43,2.6442
82.248,102.89,0.99917,350.41,2.7714
84.207,106.48,0.99907,350.3,2.8923
83.621,103.44,0.99905,350.35,2.9903
79.819,106.73,0.99904,350.37,3.0894
84.325,104.12,0.99908,350.26,3.1861
82.228,104.41,0.99907,350.15,3.2829
79.587,106.75,0.99901,350.17,3.3784
80.49,104.77,0.99891,350.22,3.4759
80.712,102.6,0.99872,350.21,3.584
82.516,102.03,0.99855,350.16,3.6873
80.425,107.96,0.99858,350.1,3.7684
83.483,102.53,0.99866,350.05,3.8479
79.414,106.76,0.99868,350.01,3.9256
79.027,103.29,0.99871,349.94,4.0046
80.641,106.22,0.9987,349.97,4.0883
